"rls_sci_name";"GG_ref_nb";"GG_ref_cit"
"Ecsenius minutus";9;83
"Ecsenius nalolo";31;497
"Ecsenius namiyei";29;796
"Ecsenius oculatus";5;38
"Ecsenius prooculis";7;260
"Ecsenius randalli";11;322
"Ecsenius schroederi";8;61
"Ecsenius stictus";26;956
"Ecsenius stigmatura";11;178
"Ecsenius tigris";7;69
"Ecsenius tricolor";3;47
"Ecsenius trilineatus";12;256
"Ecsenius yaeyamaensis";50;1516
"Ekemblemaria myersi";40;880
"Elacatinus atronasus";25;1161
"Elacatinus cayman";2;22
"Elacatinus centralis";2;22
"Elacatinus evelynae";557;15674
"Elacatinus figaro";319;7657
"Elacatinus genie";106;2824
"Elacatinus horsti";72;1203
"Elacatinus jarocho";22;177
"Elacatinus oceanops";240;6118
"Elacatinus prochilos";191;5847
