"fb_sci_name";"FB_nas";"FB_Importance";"FB_IUCN";"FB_UsedasBait";"FB_UsedforAquaculture";"FB_PriceCateg";"FB_Aquarium_I";"FB_Aquarium_II"
"Aracana aurita";223;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Aracana ornata";223;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Archamia bleekeri";112;NA;"N.E.";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Arcos poecilophthalmos";243;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Arenigobius frenatus";128;NA;"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Argyrosomus hololepidotus";92;"commercial";"DD";"never/rarely";NA;"very high";"never/rarely";NA
"Argyrosomus japonicus";91;"commercial";"EN";"never/rarely";"commercial";"medium";"never/rarely";NA
"Arothron caeruleopunctatus";213;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Arothron diadematus";214;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Arothron hispidus";90;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Arothron inconditus";237;NA;"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Arothron manilensis";98;NA;"LC";NA;NA;"very high";NA;NA
"Arothron mappa";104;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Arothron meleagris";102;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Arothron nigropunctatus";95;NA;"LC";NA;NA;"very high";"public aquariums";"based mainly on capture"
"Arothron stellatus";98;"of no interest";"LC";"never/rarely";"never/rarely";NA;NA;NA
"Arripis georgiana";83;"commercial";"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Arripis trutta";72;"commercial";"N.E.";"usually";"never/rarely";"very high";"never/rarely";NA
"Arripis truttacea";99;"commercial";"N.E.";"usually";"never/rarely";"unknown";"never/rarely";NA
"Arripis xylabion";238;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Artedius harringtoni";100;NA;"N.E.";"never/rarely";"never/rarely";"low";"public aquariums";"based mainly on capture"
"Aspasmogaster tasmaniensis";228;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Aspidontus dussumieri";104;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Aspidontus taeniatus";106;NA;"LC";NA;NA;"unknown";"commercial";"based mainly on capture"
"Assessor flavissimus";207;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";NA
