"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_05"
"Elacatinus figaro","Elacatinus figaro",2376732,FALSE,5,3
"Elacatinus genie","Elacatinus genie",2376707,FALSE,74,19
"Elacatinus horsti","Elacatinus horsti",2376688,FALSE,59,19
"Elacatinus jarocho","Elacatinus jarocho",2376706,FALSE,25,5
"Elacatinus oceanops","Elacatinus oceanops",2376717,FALSE,5069,23
"Elacatinus prochilos","Elacatinus prochilos",2376691,FALSE,57,9
"Elacatinus puncticulatus","Elacatinus puncticulatus",2376694,FALSE,112,31
"Elacatinus randalli","Elacatinus randalli",2376740,FALSE,49,13
"Elacatinus redimiculus","Tigrigobius redimiculus",2376739,TRUE,22,4
"Elacatinus xanthiprora","Elacatinus xanthiprora",2376724,FALSE,219,9
"Elagatis bipinnulata","Elagatis bipinnulata",5210446,FALSE,1944,1017
"Eleotrica cableae","Eleotrica cableae",2377804,FALSE,1,1
"Elops affinis","Elops affinis",5203150,FALSE,60,35
"Embiotoca jacksoni","Embiotoca jacksoni",2389282,FALSE,1377,29
"Embiotoca lateralis","Embiotoca lateralis",2389287,FALSE,1230,52
"Emblemariopsis pricei","Emblemariopsis pricei",2381452,FALSE,1,1
"Emblemariopsis signifer","Emblemariopsis signifer",5788047,FALSE,2,2
"Enchelycore lichenosa","Enchelycore lichenosa",2404198,FALSE,17,9
"Enchelycore ramosa","Enchelycore ramosa",2404206,FALSE,79,18
"Engraulis australis","Engraulis australis",2414019,FALSE,1785,196
"Enneanectes carminalis","Enneanectes carminalis",2393073,FALSE,17,8
"Enneanectes smithi","Enneanectes smithi",2393081,FALSE,1,1
"Enneapterygius atrogulare","Enneapterygius atrogulare",2392972,FALSE,593,21
"Enneapterygius hemimelas","Enneapterygius hemimelas",2392913,FALSE,3,2
"Enneapterygius kermadecensis","Enneapterygius kermadecensis",2392979,FALSE,16,3
"Enneapterygius larsonae","Enneapterygius larsonae",2392945,FALSE,27,5
"Enneapterygius mirabilis","Enneapterygius mirabilis",2392932,FALSE,7,6
"Enneapterygius rufopileus","Enneapterygius rufopileus",2392984,FALSE,300,14
"Enneapterygius similis","Enneapterygius similis",2392978,FALSE,57,10
"Enophrys diceraus","Enophrys diceraus",5201186,FALSE,29,27
"Enoplosus armatus","Enoplosus armatus",2391990,FALSE,3388,174
"Entomacrodus chapmani","Entomacrodus chapmani",2395663,FALSE,1,1
"Entomacrodus solus","Entomacrodus solus",5961982,FALSE,1,1
"Eocallionymus papilio","Eocallionymus papilio",2386616,FALSE,226,37
"Epibulus brevis","Epibulus brevis",2383811,FALSE,108,51
